案例,URL,關鍵字,標籤
最高法院 100 年度台上字第 214 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c100%2c%e5%8f%b0%e4%b8%8a%2c214%2c20110210&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+100+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+214+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 地質, 淹水",
最高法院 100 年度台上字第 2211 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c100%2c%e5%8f%b0%e4%b8%8a%2c2211%2c20111222&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+100+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+2211+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,地震,
最高法院 100 年度台上字第 471 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c100%2c%e5%8f%b0%e4%b8%8a%2c471%2c20110331&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+100+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+471+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,地質,
最高法院 100 年度台上字第 655 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c100%2c%e5%8f%b0%e4%b8%8a%2c655%2c20110428&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+100+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+655+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,地質,
最高法院 101 年度台上字第 1065 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c101%2c%e5%8f%b0%e4%b8%8a%2c1065%2c20120718&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+101+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+1065+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,地質,
最高法院 101 年度台上字第 2039 號民事裁定,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c101%2c%e5%8f%b0%e4%b8%8a%2c2039%2c20121213&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+101+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+2039+%e8%99%9f%e6%b0%91%e4%ba%8b%e8%a3%81%e5%ae%9a&lawpara=&ot=in,地質,
最高法院 101 年度台上字第 2081 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c101%2c%e5%8f%b0%e4%b8%8a%2c2081%2c20121220&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+101+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+2081+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,颱風,
最高法院 102 年度台上字第 1701 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c102%2c%e5%8f%b0%e4%b8%8a%2c1701%2c20130912&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+102+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+1701+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 豪雨",
最高法院 102 年度台上字第 722 號民事裁定,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c102%2c%e5%8f%b0%e4%b8%8a%2c722%2c20130418&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+102+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+722+%e8%99%9f%e6%b0%91%e4%ba%8b%e8%a3%81%e5%ae%9a&lawpara=&ot=in,"風災, 風災, 颱風",
最高法院 102 年度台聲字第 828 號民事裁定,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c102%2c%e5%8f%b0%e8%81%b2%2c828%2c20130725&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+102+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e8%81%b2%e5%ad%97%e7%ac%ac+828+%e8%99%9f%e6%b0%91%e4%ba%8b%e8%a3%81%e5%ae%9a&lawpara=&ot=in,"風災, 風災, 颱風, 洪水",
最高法院 103 年度台上字第 1153 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c103%2c%e5%8f%b0%e4%b8%8a%2c1153%2c20140611&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+103+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+1153+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"洪水, 豪雨, 颱風, 地質, 地形",
